German_Headword,English_Meaning,Example_Sentence_DE,Example_Sentence_EN,,YouGlish_Link
vorsichtig,careful / cautious,Sei <b>vorsichtig</b>!,Be careful!,,https://youglish.com/pronounce/vorsichtig/german
vorstellen (sich),to introduce / imagine,Können Sie sich bitte <b>vorstellen</b>?,Could you please introduce yourself?,,https://youglish.com/pronounce/vorstellen/german
vorwärts,forwards,Fahren Sie bitte noch ein Stück <b>vorwärts</b>.,Please drive a bit further forwards.,,https://youglish.com/pronounce/vorwärts/german
wach,awake,Bist du schon lange <b>wach</b>?,Have you been awake for long?,,https://youglish.com/pronounce/wach/german
"der Wagen, -",car / carriage / cart,Wo steht Ihr <b>Wagen</b>?,Where is your car parked?,,https://youglish.com/pronounce/Wagen/german
wählen,to choose / elect / dial,Wählen Sie bitte ein Getränk!,Please <b>choose</b> a drink!,,https://youglish.com/pronounce/wählen/german
wahr,true / real,Das ist nicht <b>wahr</b>!,That is not true!,,https://youglish.com/pronounce/wahr/german
wahrscheinlich,probable / probably,Er kommt <b>wahrscheinlich</b> nicht.,He probably won't come.,,https://youglish.com/pronounce/wahrscheinlich/german
"der Wald, -er",forest / woods,Im <b>Wald</b> ist es ruhig.,In the forest it is quiet.,,https://youglish.com/pronounce/Wald/german
"wandern | wandert, wanderte, ist gewandert",to hike,Wir gehen oft <b>wandern</b>.,We often go hiking.,,https://youglish.com/pronounce/wandern/german
wann,when,<b>Wann</b> bist du fertig?,When will you be ready?,,https://youglish.com/pronounce/wann/german
"warm (wärmer, am wärmsten)",warm,Hier ist es sehr <b>warm</b>.,It is very warm in here.,,https://youglish.com/pronounce/warm/german
warten auf (+ Akk.),to wait,Können Sie ein paar Minuten <b>warten</b>?,Can you wait a few minutes?,,https://youglish.com/pronounce/warten/german
warum,why,<b>Warum</b> kommt er nicht?,Why is he not coming?,,https://youglish.com/pronounce/warum/german
was,what,<b>Was</b> ist das?,What is that?,,https://youglish.com/pronounce/was/german
die Wäsche (kein Pl.),laundry / washing,Ich muss noch <b>Wäsche</b> waschen.,I still have to do laundry.,,https://youglish.com/pronounce/Wäsche/german
"waschen (sich) | wäscht, wusch, hat gewaschen",to wash,Wo kann ich mir die Hände <b>waschen</b>?,Where can I wash my hands?,,https://youglish.com/pronounce/waschen/german
das Wasser (kein Pl.),water,"Ein Glas <b>Wasser</b>, bitte.","A glass of water, please.",,https://youglish.com/pronounce/Wasser/german
"die Webseite, -n",webpage / website,Es gibt viele <b>Webseiten</b> mit Grammatikübungen.,There are many webpages with grammar exercises.,,https://youglish.com/pronounce/Webseite/german
wechseln,to change / exchange,Wir müssen den Reifen <b>wechseln</b>.,We have to change the tire.,,https://youglish.com/pronounce/wechseln/german
wecken,to wake up,Bitte <b>wecken</b> Sie mich morgen früh um fünf.,Please wake me up tomorrow morning at five.,,https://youglish.com/pronounce/wecken/german
weg / weg-,away / gone,Meine Brille ist <b>weg</b>.,My glasses are gone.,,https://youglish.com/pronounce/weg/german
"der Weg, -e",way / path / route,Das ist der kürzeste <b>Weg</b>.,That is the shortest route.,,https://youglish.com/pronounce/Weg/german
wegen (+ Gen./Dat.),because of / due to,<b>Wegen</b> seiner Arbeit kann er leider nicht kommen.,Because of his work he unfortunately cannot come.,,https://youglish.com/pronounce/wegen/german
"wehtun | tut weh, tat weh, hat wehgetan",to hurt / ache,Wo tut es <b>weh</b>?,Where does it hurt?,,https://youglish.com/pronounce/wehtun/german
weiblich,female / feminine,Wählen Sie bitte: „<b>weiblich</b>“ oder „männlich“.,Please choose: 'female' or 'male'.,,https://youglish.com/pronounce/weiblich/german
weich,soft,Ich möchte zum Frühstück ein <b>weiches</b> Ei.,I would like a soft-boiled egg for breakfast.,,https://youglish.com/pronounce/weich/german
weil,because,"Ich kann nicht kommen, <b>weil</b> ich arbeiten muss.",I cannot come because I have to work.,,https://youglish.com/pronounce/weil/german
"der Wein, -e",wine,"Nein danke, ich möchte keinen <b>Wein</b>.","No thank you, I do not want wine.",,https://youglish.com/pronounce/Wein/german
weinen,to cry / weep,Warum <b>weint</b> das Baby?,Why is the baby crying?,,https://youglish.com/pronounce/weinen/german
"weit (weiter, am weitesten)",far / wide,Zum Bahnhof ist es nicht <b>weit</b>.,It is not far to the train station.,,https://youglish.com/pronounce/weit/german
weiter / weiter-,further / continue,Der Bus fährt nicht <b>weiter</b>.,The bus goes no further.,,https://youglish.com/pronounce/weiter/german
"welcher, -e, -es",which,<b>Welcher</b> Tag ist heute?,Which day is today?,,https://youglish.com/pronounce/welcher/german
"die Welt, -en",world,Ich möchte gern einmal um die <b>Welt</b> reisen.,I would like to travel around the world once.,,https://youglish.com/pronounce/Welt/german
"wenig (weniger, am wenigsten)",little / few,Ich habe leider nur <b>wenig</b> verstanden.,Unfortunately I understood only a little.,,https://youglish.com/pronounce/wenig/german
wenigstens,at least,Essen Sie <b>wenigstens</b> ein Stück Kuchen.,Eat at least a piece of cake.,,https://youglish.com/pronounce/wenigstens/german
wenn,if / when,"<b>Wenn</b> ich nicht arbeiten muss, komme ich.","If I don't have to work, I will come.",,https://youglish.com/pronounce/wenn/german
"wer (wen, wem)",who,<b>Wer</b> ist das?,Who is that?,,https://youglish.com/pronounce/wer/german
"werden | wird, wurde, ist geworden",to become / will,Mein Sohn will Arzt <b>werden</b>.,My son wants to become a doctor.,,https://youglish.com/pronounce/werden/german
"die Werkstatt, -en",workshop / garage,Mein Auto ist kaputt. Es ist in der <b>Werkstatt</b>.,My car is broken. It is in the garage.,,https://youglish.com/pronounce/Werkstatt/german
"der Wettbewerb, -e",competition / contest,Mein Sohn hat bei einem <b>Wettbewerb</b> gewonnen.,My son won in a competition.,,https://youglish.com/pronounce/Wettbewerb/german
das Wetter (kein Pl.),weather,Heute ist das <b>Wetter</b> gut.,Today the weather is good.,,https://youglish.com/pronounce/Wetter/german
wichtig,important,"Es ist <b>wichtig</b>, dass Sie auch kommen.",It is important that you come too.,,https://youglish.com/pronounce/wichtig/german
wie,how / as,<b>Wie</b> heißt du?,What is your name?,,https://youglish.com/pronounce/wie/german
"wie viel, -e",how much / many,<b>Wie viel</b> kostet diese Hose?,How much do these trousers cost?,,https://youglish.com/pronounce/wie%20viel/german
wieder,again,Stefan kann <b>wieder</b> zum Fußballtraining kommen.,Stefan can come to football practice again.,,https://youglish.com/pronounce/wieder/german
wiederholen,to repeat,Können Sie das bitte <b>wiederholen</b>?,Could you please repeat that?,,https://youglish.com/pronounce/wiederholen/german
das Wiederhören (kein Pl.),hearing again (phone),Auf <b>Wiederhören</b>!,Goodbye (on phone)!,,https://youglish.com/pronounce/Wiederhören/german
das Wiedersehen (kein Pl.),seeing again,Auf <b>Wiedersehen</b>!,Goodbye!,,https://youglish.com/pronounce/Wiedersehen/german
willkommen,welcome,Herzlich <b>willkommen</b> in Berlin!,Welcome to Berlin!,,https://youglish.com/pronounce/willkommen/german
"der Wind, -e",wind,Der <b>Wind</b> ist kalt.,The wind is cold.,,https://youglish.com/pronounce/Wind/german
windig,windy,Heute ist es sehr <b>windig</b>.,Today it is very windy.,,https://youglish.com/pronounce/windig/german
wirklich,really / actually,Es ist aber <b>wirklich</b> so.,"It really is like that, however.",,https://youglish.com/pronounce/wirklich/german
"wissen | weiß, wusste, hat gewusst",to know (fact),"<b>Weißt</b> du, wie der Hausmeister heißt?",Do you know what the caretaker is called?,,https://youglish.com/pronounce/wissen/german
"der Witz, -e",joke,Wir haben <b>Witze</b> erzählt und viel gelacht.,We told jokes and laughed a lot.,,https://youglish.com/pronounce/Witz/german
witzig,witty / funny,Warum lachst du? Ich finde das nicht <b>witzig</b>.,Why are you laughing? I don't find that funny.,,https://youglish.com/pronounce/witzig/german
wo,where,<b>Wo</b> waren Sie im Urlaub?,Where were you on vacation?,,https://youglish.com/pronounce/wo/german
woher,where from,<b>Woher</b> kommen Sie?,Where do you come from?,,https://youglish.com/pronounce/woher/german
wohin,where to,<b>Wohin</b> fährt dieser Bus?,Where is this bus going?,,https://youglish.com/pronounce/wohin/german
wohnen,to live / reside,Ich <b>wohne</b> in Kiel.,I live in Kiel.,,https://youglish.com/pronounce/wohnen/german
"die Wohnung, -en",apartment / flat,Haben Sie schon eine neue <b>Wohnung</b> gefunden?,Have you already found a new apartment?,,https://youglish.com/pronounce/Wohnung/german
"das Wohnzimmer, -",living room,Die Kinder sitzen im <b>Wohnzimmer</b> und sehen fern.,The children are sitting in the living room watching television.,,https://youglish.com/pronounce/Wohnzimmer/german
"die Wolke, -n",cloud,Heute gibt es viele <b>Wolken</b>.,Today there are many clouds.,,https://youglish.com/pronounce/Wolke/german
"wollen | will, wollte, hat gewollt",to want,<b>Wollen</b> Sie einen Kaffee trinken?,Do you want to drink a coffee?,,https://youglish.com/pronounce/wollen/german
"der Workshop, -s",workshop,Das war ein toller <b>Workshop</b>.,That was a great workshop.,,https://youglish.com/pronounce/Workshop/german
"das Wort, -er",word,Ich kenne das <b>Wort</b> nicht.,I do not know the word.,,https://youglish.com/pronounce/Wort/german
wunderbar,wonderful,Diese Schokolade schmeckt <b>wunderbar</b>.,This chocolate tastes wonderful.,,https://youglish.com/pronounce/wunderbar/german
"der Wunsch, -e",wish / request,Was ist dein größter <b>Wunsch</b>?,What is your greatest wish?,,https://youglish.com/pronounce/Wunsch/german
wünschen (sich),to wish,Ich <b>wünsche mir</b> eine Kamera zum Geburtstag.,I wish for a camera for my birthday.,,https://youglish.com/pronounce/wünschen/german
"die Wurst, -e",sausage,"Eine <b>Wurst</b> mit Pommes, bitte.","A sausage with french fries, please.",,https://youglish.com/pronounce/Wurst/german
"die Zahl, -en",number / figure,Können Sie die <b>Zahl</b> bitte wiederholen?,Could you please repeat the number?,,https://youglish.com/pronounce/Zahl/german
zahlen für (+ Akk.),to pay,"Entschuldigung, <b>zahlen</b> bitte!","Excuse me, the bill please!",,https://youglish.com/pronounce/zahlen/german
"der Zahn, -e",tooth,Der <b>Zahn</b> tut mir schon seit einer Woche weh.,The tooth has been hurting me for a week.,,https://youglish.com/pronounce/Zahn/german
zeichnen,to draw,Caterina kann gut <b>zeichnen</b>.,Caterina can draw well.,,https://youglish.com/pronounce/zeichnen/german
zeigen,to show,Können Sie mir bitte den Weg zum Bahnhof <b>zeigen</b>?,Could you please show me the way to the train station?,,https://youglish.com/pronounce/zeigen/german
"die Zeit, -en",time,Ich habe heute keine <b>Zeit</b>.,I have no time today.,,https://youglish.com/pronounce/Zeit/german
"die Zeitschrift, -en",magazine / periodical,Diese <b>Zeitschrift</b> kauft Andrea jede Woche.,Andrea buys this magazine every week.,,https://youglish.com/pronounce/Zeitschrift/german
"die Zeitung, -en",newspaper,Ich lese manchmal <b>Zeitung</b>.,I sometimes read the newspaper.,,https://youglish.com/pronounce/Zeitung/german
"das Zelt, -e",tent,Im Sommer schlafen wir manchmal im <b>Zelt</b>.,In summer we sometimes sleep in a tent.,,https://youglish.com/pronounce/Zelt/german
"das Zentrum, Zentren",center / downtown,Der Bahnhof ist im Stadt<b>zentrum</b>.,The train station is in the city center.,,https://youglish.com/pronounce/Zentrum/german
"der Zettel, -",slip of paper / note,Hast du einen <b>Zettel</b> für mich?,Do you have a slip of paper for me?,,https://youglish.com/pronounce/Zettel/german
"das Zeugnis, -se",report card / certificate,Morgen bekommen die Kinder ihr <b>Zeugnis</b>.,Tomorrow the children receive their report cards.,,https://youglish.com/pronounce/Zeugnis/german
"anziehen | zieht an, zog an, hat angezogen",to put on (clothes),Ich <b>ziehe</b> mir eine Jacke <b>an</b>.,I put on a jacket.,,https://youglish.com/pronounce/anziehen/german
"ausziehen | zieht aus, zog aus, ist/hat ausgezogen",to take off / move out,Die Nachbarn sind am Wochenende <b>ausgezogen</b>.,The neighbors moved out on the weekend.,,https://youghen/german
"das Ziel, -e",goal / destination,Was ist dein <b>Ziel</b> im Leben?,What is your goal in life?,,https://youglish.com/pronounce/ausziehen/german
"das Zimmer, -",room,Das <b>Zimmer</b> ist am größten.,The room is the largest.,,https://youglish.com/pronounce/Ziel/german
"der Zirkus, -se",circus,Heute gehen wir mit den Kindern in den <b>Zirkus</b>.,Today we are going to the circus with the children.,,https://youglish.com/pronounce/Zimmer/german
"die Zitrone, -n",lemon,Ich trinke den Tee mit <b>Zitrone</b>.,I drink tea with lemon.,,https://youglish.com/pronounce/Zirkus/german
"der Zoo, -s",zoo,Am Sonntag gehen wir in den <b>Zoo</b>.,On Sunday we are going to the zoo.,,https://youglish.com/pronounce/Zitrone/german
zu (+ Dat.),to / too / closed,Der Bus fährt <b>zum</b> Bahnhof.,The bus goes to the train station.,,https://youglish.com/pronounce/Zoo/german
der Zucker (kein Pl.),sugar,Trinken Sie den Tee mit oder ohne <b>Zucker</b>?,Do you drink tea with or without sugar?,,https://youglish.com/pronounce/zu/german
zuerst,first / at first,<b>Zuerst</b> müsst ihr die Hausaufgaben machen.,First you have to do your homework.,,https://youglish.com/pronounce/Zucker/german
zufrieden mit (+ Dat.),satisfied / content,Ich bin mit der Wohnung <b>zufrieden</b>.,I am satisfied with the apartment.,,https://youglish.com/pronounce/zuerst/german
"der Zug, -e",train,Ich fahre gern mit dem <b>Zug</b>.,I like traveling by train.,,https://youglish.com/pronounce/zufrieden/german
zuhören (+ Dat.),to listen to,<b>Hör</b> mir doch mal <b>zu</b>!,Do listen to me!,,https://youglish.com/pronounce/Zug/german
zuletzt,last / lastly,Diese Aufgabe machen wir <b>zuletzt</b>.,We'll do this task last.,,https://youglish.com/pronounce/zuhören/german
zum Beispiel,for example,"Mein Freund hat viele Hobbys, <b>zum Beispiel</b> Kochen.","My friend has many hobbies, for example cooking.",,https://youglish.com/pronounce/zuletzt/german
zumachen,to close / shut,Machst du bitte das Fenster <b>zu</b>?,Could you please close the window?,,https://youglish.com/pronounce/Beispiel/german
zurück / zurück-,back / return,Wann kommst du <b>zurück</b>?,When are you coming back?,,https://youglish.com/pronounce/zumachen/german
zusammen,together / altogether,Wollen wir <b>zusammen</b> essen gehen?,Shall we go eat together?,,https://youglish.com/pronounce/zurück/german
zwischen (+ Dat./Akk.),between,Heidelberg liegt <b>zwischen</b> Frankfurt und Stuttgart.,Heidelberg lies between Frankfurt and Stuttgart.,,https://youglish.com/pronounce/zusammen/german
